title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
The Big Lebowski,1998-03-06,29782,Q337078,7.842,30.996,47010480,477802
Dawn of the Planet of the Apes,2014-06-26,36023964,Q11220194,7.306,59.336,710644566,923035
Dead Poets Society,1989-06-02,129493,Q106316,8.312,38.942,235860116,437698
Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,44174851,Q18199331,6.876,29.783,654855901,209086
Die Hard,1988-07-15,97646,Q105598,7.775,36.754,140767956,617528
Now You See Me 2,2016-06-02,44507471,Q18703028,6.83,33.753,334901337,215531
Home Alone,1990-11-16,216072,Q105031,7.412,1.826,476684675,829558
The Matrix Reloaded,2003-05-15,123417,Q189600,7.039,44.605,738599701,223335
Fast & Furious 6,2013-05-21,31780557,Q5516100,6.817,6.263,788680968,184073
Bruce Almighty,2003-05-23,237303,Q207816,6.706,33.909,484592874,162280
Gran Torino,2008-12-12,17016725,Q126699,7.994,35.849,269958228,233016
Furious 7,2015-04-01,39238465,Q14650496,7.238,62.276,1515341399,266804
The Fifth Element,1997-05-02,143809,Q106506,7.53,49.67,263920180,421588
Slumdog Millionaire,2008-11-12,15233369,Q125076,7.734,22.969,378410542,282145
Monsters University,2013-06-19,23252763,Q641362,7.0,44.116,743559607,167265
Pan's Labyrinth,2006-10-10,3261733,Q216006,7.757,35.672,83258226,264312
Jumanji,1995-12-15,3700174,Q222939,7.239,13.444,262821940,441644
Avatar: The Way of Water,2022-12-14,25813358,Q3604746,7.654,241.285,2320250281,504876
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,1880660,Q485803,7.126,123.542,745013115,218851
X-Men Origins: Wolverine,2009-04-28,2982688,Q217552,6.254,4.317,373062864,497990
The Hangover Part II,2011-05-25,23295795,Q274748,6.468,51.808,586764305,162762
Sherlock Holmes: A Game of Shadows,2011-11-22,25793288,Q243643,7.13,31.501,334615000,113724
The Fate of the Furious,2017-04-12,44379763,Q19829521,6.887,56.124,1236005118,248413
Kong: Skull Island,2017-03-08,43841590,Q21203766,6.514,39.514,566652812,334860
Back to the Future Part III,1990-05-25,213275,Q230552,7.465,33.735,244527583,176774
Men in Black 3,2012-05-23,13049327,Q327713,6.51,35.497,624026776,178838
Maze Runner: The Scorch Trials,2015-09-09,43716131,Q18359358,6.7,42.487,312296056,118239
Full Metal Jacket,1987-06-26,11701,Q243439,8.136,40.541,46357676,493763
The Usual Suspects,1995-07-19,167857,Q132351,8.195,30.858,23341568,335381
Kingsman: The Golden Circle,2017-09-20,49966069,Q23780457,6.972,47.359,410902662,222518
Night at the Museum,2006-12-20,4167411,Q387601,6.6,39.701,574480841,251567
"Three Billboards Outside Ebbing, Missouri",2017-12-01,50449686,Q24053277,8.081,23.357,160192031,330975
Braveheart,1995-05-24,4560,Q162729,7.932,33.766,213216216,367937
Indiana Jones and the Last Crusade,1989-05-24,51888,Q185658,7.847,52.439,474171806,262277
Men in Black II,2002-07-03,673599,Q156597,6.359,32.556,445135288,134331
Zack Snyder's Justice League,2021-03-18,64017869,Q94998134,8.19,130.69,0,273002
Venom: Let There Be Carnage,2021-09-30,59135372,Q60498064,6.833,89.985,506863592,439475
